"gameId","platformId","gameCreation","gameDuration","queueId","mapId","seasonId","gameVersion","gameMode","gameType","teamId","win","firstBlood","firstTower","firstInhibitor","firstBaron","firstDragon","firstRiftHerald","towerKills","inhibitorKills","baronKills","dragonKills","vilemawKills","riftHeraldKills","dominionVictoryScore","participantId","championId","spell1Id","spell2Id","item0","item1","item2","item3","item4","item5","item6","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist","combatPlayerScore","objectivePlayerScore","totalPlayerScore","totalScoreRank","playerScore0","playerScore1","playerScore2","playerScore3","playerScore4","playerScore5","playerScore6","playerScore7","playerScore8","playerScore9","perk0","perk0Var1","perk0Var2","perk0Var3","perk1","perk1Var1","perk1Var2","perk1Var3","perk2","perk2Var1","perk2Var2","perk2Var3","perk3","perk3Var1","perk3Var2","perk3Var3","perk4","perk4Var1","perk4Var2","perk4Var3","perk5","perk5Var1","perk5Var2","perk5Var3","perkPrimaryStyle","perkSubStyle","statPerk0","statPerk1","statPerk2","creepsPerMinDeltas_10-20","creepsPerMinDeltas_0-10","xpPerMinDeltas_10-20","xpPerMinDeltas_0-10","goldPerMinDeltas_10-20","goldPerMinDeltas_0-10","csDiffPerMinDeltas_10-20","csDiffPerMinDeltas_0-10","xpDiffPerMinDeltas_10-20","xpDiffPerMinDeltas_0-10","damageTakenPerMinDeltas_10-20","damageTakenPerMinDeltas_0-10","damageTakenDiffPerMinDeltas_10-20","damageTakenDiffPerMinDeltas_0-10","lane","role","creepsPerMinDeltas_30-end","creepsPerMinDeltas_20-30","xpPerMinDeltas_30-end","xpPerMinDeltas_20-30","goldPerMinDeltas_30-end","goldPerMinDeltas_20-30","csDiffPerMinDeltas_30-end","csDiffPerMinDeltas_20-30","xpDiffPerMinDeltas_30-end","xpDiffPerMinDeltas_20-30","damageTakenPerMinDeltas_30-end","damageTakenPerMinDeltas_20-30","damageTakenDiffPerMinDeltas_30-end","damageTakenDiffPerMinDeltas_20-30","highestAchievedSeasonTier"
770577429,"LA1",1572679159656,1411,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",100,false,true,false,false,false,false,false,0,0,0,1,0,0,0,3,61,4,7,3285,1056,3151,1052,3020,1082,3340,5,7,5,2,2,1,422,1,0,0,0,0,96994,78287,13266,5440,0,15864,14803,1060,0,908,2,6992,347,0,16,17,15802,3919,10785,1097,9693,9085,0,148,0,0,0,235,13,2,0,10,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,709,0,0,8226,250,969,0,8210,0,0,0,8236,24,0,0,8304,12,0,0,8347,0,0,0,8200,8300,5008,5008,5002,7.9,5.7,505.2,395.9,529.2,214,4.440892098500626e-16,-2.7,-0.6999999999999886,-90.9,830.8,285.7,54.19999999999993,12.800000000000011,"MIDDLE","SOLO",,,,,,,,,,,,,,,
770558640,"LA1",1572676856148,1506,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",100,false,true,false,false,false,false,true,2,0,0,0,0,1,0,4,92,4,12,3071,1054,3812,3111,3134,2055,3340,3,4,3,2,1,1,697,0,0,0,0,0,109749,0,106268,3480,0,11600,0,11095,504,1837,1,16681,8729,2472,21,21,16742,8140,6960,1641,9896,9400,1,179,4,0,0,118,14,4,0,11,1,false,false,false,false,false,false,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8010,504,198,504,9111,514,120,0,9104,16,30,0,8014,121,0,0,8304,10,3,0,8347,0,0,0,8000,8300,5007,5008,5002,8.7,7,550.3,451.90000000000003,452.1,325.9,-0.7999999999999998,2.5999999999999996,16.099999999999994,81.80000000000004,616.3,333.5,121.1,-172.4,"TOP","SOLO",,,,,,,,,,,,,,,
767796198,"LA1",1572233598892,2267,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",100,true,false,true,false,true,false,false,10,1,2,1,0,0,0,4,133,4,12,3153,3031,3046,3033,3006,3087,3340,10,3,15,8,1,1,922,0,0,0,0,0,239399,2488,234402,2508,1092,39762,1237,38044,480,2737,1,17128,12118,12118,35,51,26786,4708,18238,3839,17865,17600,7,250,16,8,4,354,18,2,0,15,2,false,false,true,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,36,0,0,8226,250,957,0,8234,15858,0,0,8232,2,10,0,8138,18,0,0,8105,16,5,0,8200,8100,5005,5008,5002,6.800000000000001,6.4,596.7,437.5,460.6,243.20000000000002,-0.8999999999999995,-0.6000000000000001,74.00000000000003,-14.700000000000017,930.4,253.7,-262.70000000000005,-198.00000000000003,"TOP","SOLO",5.4,6.6,542.8,728.6,508.8,512.2,-1.5999999999999996,0.6000000000000001,5.399999999999977,370.20000000000005,863,838.7,-997,-488.3,
767775671,"LA1",1572231129115,1707,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",200,true,true,false,true,true,false,false,9,1,1,2,0,0,0,8,114,4,12,3074,3078,2033,3111,3133,1053,3340,3,6,7,0,1,0,434,0,0,0,0,0,156109,2435,143574,10099,572,20775,1225,14079,5469,6449,2,19244,10066,9193,21,10,24128,5535,17488,1104,12401,10545,2,216,4,0,0,97,16,1,0,12,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,810,31,0,8304,12,0,0,8345,3,0,0,8352,251,1290,979,8226,250,475,0,8210,0,0,0,8300,8200,5005,5008,5002,6.5,7.1,485.9,443.4,379.9,275.20000000000005,0.20000000000000018,0.3999999999999999,-17.599999999999994,-69.69999999999999,779.4000000000001,522.4,-237.2999999999999,-47.20000000000002,"TOP","SOLO",,,,,,,,,,,,,,,
767651762,"LA1",1572218862191,759,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",200,true,true,true,true,false,false,false,7,0,0,0,0,0,0,10,92,4,12,2031,1054,3071,3133,2422,1036,3340,2,0,1,2,1,1,0,0,0,0,0,0,52540,0,52378,162,0,3810,0,3647,162,274,1,3450,4446,4446,11,14,5336,795,3964,575,6041,5250,1,106,0,0,0,83,10,2,0,6,1,false,false,false,false,false,true,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8010,162,61,167,9111,138,60,0,9104,0,0,0,8014,87,0,0,8304,9,4,5,8347,0,0,0,8000,8300,5007,5008,5002,,7.3,,479.9,,370.4,,1.4599999999999993,,122.00000000000001,,320.6,,-41.91999999999996,"NONE","DUO_SUPPORT",,,,,,,,,,,,,,,
767616144,"LA1",1572216292832,1986,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",200,true,true,true,true,false,false,true,10,1,0,2,0,1,0,10,8,4,14,3152,3907,3157,3020,3165,0,3340,13,6,6,4,3,4,824,3,3,0,0,0,173173,147013,16908,9250,0,33885,31220,1106,1557,28358,1,18069,7207,6458,14,7,33288,14270,18314,703,15594,13300,2,192,12,8,0,126,17,0,0,11,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,15,0,0,8275,13,0,0,8210,18,0,0,8236,48,0,0,8347,0,0,0,8316,4125,0,0,8200,8300,5007,5008,5002,6.7,7.699999999999999,472,508.3,519.5,277.5,-0.19999999999999973,-0.20000000000000018,-26.400000000000006,25.69999999999999,702.6,399.6,-365.79999999999995,12.699999999999989,"MIDDLE","SOLO",,2.5,,407,,409.6,,-5.4,,-416.7,,1508.9,,324.29999999999995,
767529778,"LA1",1572211492252,1879,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",100,true,true,false,true,true,true,false,10,0,2,4,0,0,0,3,92,4,12,3142,3812,3123,3071,3111,0,3340,8,4,3,4,1,2,906,0,0,0,0,0,197012,62,192581,4368,0,21289,62,20206,1020,6642,1,24054,11782,10895,24,31,23597,6176,15513,1907,15012,12400,3,266,8,0,4,200,18,4,0,15,6,false,false,false,false,false,false,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8010,814,296,826,9111,543,220,0,9104,18,0,0,8014,585,0,0,8304,11,1,5,8347,0,0,0,8000,8300,5008,5008,5002,9.5,6.5,629.4000000000001,429.7,457.2,244.9,-0.20000000000000018,-1.5999999999999996,121.60000000000002,-57.60000000000002,428.7,470,-316.40000000000003,-126.6,"TOP","SOLO",,9.3,,777.5,,666.9000000000001,,3.5999999999999996,,255.4,,1274,,72.89999999999998,
767488019,"LA1",1572209122848,1810,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",200,true,true,true,true,true,true,true,10,1,1,2,0,1,0,6,92,4,12,3111,3033,1037,3071,3812,3052,3340,12,2,7,8,2,2,1315,2,0,0,0,0,184864,0,169590,15273,0,26241,0,23749,2492,10324,1,39176,18931,5062,35,30,25963,5854,16166,3942,15309,13425,2,223,4,1,0,150,17,2,0,13,1,false,false,false,true,true,false,0,0,0,0,0,19,0,0,0,0,0,0,0,0,8010,1071,546,1202,9111,1107,380,0,9104,12,0,0,8014,835,0,0,8304,8,1,5,8347,0,0,0,8000,8300,5008,5008,5002,9.6,8,587.0999999999999,546.9,445.2,410.70000000000005,-1.0000000000000009,1.4,19.699999999999932,159.99999999999997,416.6,486.9,-349.70000000000005,-135.4,"TOP","SOLO",,4.699999999999999,,605.9,,618,,2.1999999999999997,,347.7,,1672.5,,-539.9000000000001,
767432977,"LA1",1572204450674,2290,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",100,false,false,false,true,true,true,false,11,0,2,4,0,0,0,5,92,4,12,3142,3053,3814,3071,3158,3812,3340,13,7,8,5,2,3,583,2,0,0,0,0,277886,941,269484,7461,0,45114,152,40477,4485,15448,1,64603,17868,3186,39,50,43334,14721,21101,7512,19770,20925,1,317,0,0,0,225,18,3,0,17,4,false,false,true,false,false,false,0,0,0,0,0,33,0,0,0,0,0,0,0,0,8010,3151,1676,3110,9111,2182,420,0,9104,13,20,0,8014,1029,0,0,8304,9,0,0,8347,0,0,0,8000,8300,5007,5008,5002,9,8,581,472,646.9000000000001,304.4,3.2,3.6,184.4,131.49999999999997,969.9000000000001,423.7,169.70000000000005,-132.1,"TOP","SOLO",10.8,7.800000000000001,660,638,577.6,487.9,9,3.3000000000000003,330.6,35,1283.4,1155.7,-369,-56.80000000000007,
767111145,"LA1",1572141687471,2063,420,11,13,"9.21.294.813","CLASSIC","MATCHED_GAME",200,true,false,false,false,false,false,false,8,1,1,3,0,0,0,7,92,4,12,3814,3812,3071,3158,3033,3052,3340,10,2,3,5,2,3,1035,3,0,0,0,0,309771,0,290968,18803,0,25690,0,24337,1353,6039,1,27256,10040,7153,45,34,20576,2403,13740,4432,18155,15075,2,331,11,5,1,225,18,3,0,16,5,false,false,false,false,false,false,0,0,0,0,0,28,0,0,0,0,0,0,0,0,8010,1315,490,1077,9111,380,260,0,9104,18,40,0,8014,641,0,0,8304,11,1,5,8347,0,0,0,8000,8300,5007,5008,5002,10,6.8,700.3,464.8,442.9,270,0.20000000000000018,-1.2000000000000002,82.80000000000001,-6.899999999999977,621.7,298.7,-395.2,-4.200000000000017,"TOP","SOLO",,10.100000000000001,,791.7,,663.8,,3.1000000000000005,,177.3,,796.1999999999999,,-1015.2,
