"gameId","platformId","gameCreation","gameDuration","queueId","mapId","seasonId","gameVersion","gameMode","gameType","teamId","win","firstBlood","firstTower","firstInhibitor","firstBaron","firstDragon","firstRiftHerald","towerKills","inhibitorKills","baronKills","dragonKills","vilemawKills","riftHeraldKills","dominionVictoryScore","participantId","championId","spell1Id","spell2Id","item0","item1","item2","item3","item4","item5","item6","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist","combatPlayerScore","objectivePlayerScore","totalPlayerScore","totalScoreRank","playerScore0","playerScore1","playerScore2","playerScore3","playerScore4","playerScore5","playerScore6","playerScore7","playerScore8","playerScore9","perk0","perk0Var1","perk0Var2","perk0Var3","perk1","perk1Var1","perk1Var2","perk1Var3","perk2","perk2Var1","perk2Var2","perk2Var3","perk3","perk3Var1","perk3Var2","perk3Var3","perk4","perk4Var1","perk4Var2","perk4Var3","perk5","perk5Var1","perk5Var2","perk5Var3","perkPrimaryStyle","perkSubStyle","statPerk0","statPerk1","statPerk2","creepsPerMinDeltas_10-20","creepsPerMinDeltas_0-10","xpPerMinDeltas_10-20","xpPerMinDeltas_0-10","goldPerMinDeltas_10-20","goldPerMinDeltas_0-10","csDiffPerMinDeltas_10-20","csDiffPerMinDeltas_0-10","xpDiffPerMinDeltas_10-20","xpDiffPerMinDeltas_0-10","damageTakenPerMinDeltas_10-20","damageTakenPerMinDeltas_0-10","damageTakenDiffPerMinDeltas_10-20","damageTakenDiffPerMinDeltas_0-10","lane","role","highestAchievedSeasonTier","creepsPerMinDeltas_30-end","creepsPerMinDeltas_20-30","xpPerMinDeltas_30-end","xpPerMinDeltas_20-30","goldPerMinDeltas_30-end","goldPerMinDeltas_20-30","damageTakenPerMinDeltas_30-end","damageTakenPerMinDeltas_20-30","csDiffPerMinDeltas_30-end","csDiffPerMinDeltas_20-30","xpDiffPerMinDeltas_30-end","xpDiffPerMinDeltas_20-30","damageTakenDiffPerMinDeltas_30-end","damageTakenDiffPerMinDeltas_20-30"
763059368,"LA1",1571498443041,1747,420,11,13,"9.20.292.2452","CLASSIC","MATCHED_GAME",100,false,false,true,false,false,false,false,3,0,0,0,0,0,0,2,497,4,14,3098,1028,3504,3111,0,0,3364,0,11,8,0,0,0,368,0,0,0,0,0,11913,6690,4752,470,0,4235,2998,767,470,1398,2,18932,0,0,38,27,16732,4015,11485,1231,6082,5350,0,17,0,0,0,75,12,6,0,15,5,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,4739,0,0,8446,0,0,0,8473,650,0,0,8453,197,631,0,8275,7,0,0,8234,9184,0,0,8400,8200,5008,5008,5002,0.7,0.3,288.3,265.5,239,125.9,-1.15,-0.5000000000000002,-213.60000000000002,-66.15,634.2,228.7,-55.64999999999998,59.95000000000002,"BOTTOM","DUO_SUPPORT",,,,,,,,,,,,,,,
763064062,"LA1",1571496281040,1599,420,11,13,"9.20.292.2452","CLASSIC","MATCHED_GAME",100,true,false,true,true,false,true,true,8,0,0,2,0,1,0,2,14,4,12,3748,2031,3047,3082,1054,1011,3340,2,6,12,0,1,0,628,0,0,0,0,0,79738,11737,67973,27,0,9792,2380,7384,27,3674,1,21948,4812,4812,30,32,25917,8878,15561,1477,8004,8425,1,120,0,0,0,580,14,4,0,12,2,false,false,false,false,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,926,725,0,8446,2792,0,0,8473,410,0,0,8451,203,0,0,8345,3,0,0,8352,130,765,34,8400,8300,5008,5008,5003,4.6,6.2,484.4,437.5,293.1,217.5,,,,,902.0999999999999,444.3,,,"JUNGLE","NONE",,,,,,,,,,,,,,,
757134667,"LA1",1570303286250,1336,420,11,13,"9.19.290.8808","CLASSIC","MATCHED_GAME",100,false,false,false,false,false,false,false,0,0,0,0,0,0,0,1,81,4,7,3025,0,1055,0,3004,3158,3340,4,7,6,2,1,1,519,0,0,0,0,0,49212,11830,33540,3842,0,10051,3191,6713,147,676,3,7258,0,0,7,1,13035,2452,10569,14,7504,6775,0,102,0,0,0,21,11,1,0,7,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,390,14,0,8304,9,0,0,8345,3,0,0,8347,0,0,0,8226,250,542,0,8210,0,0,0,8300,8200,5005,5008,5002,3.5,6.1,317.20000000000005,307.9,296.9,336.7,-2.65,0.050000000000000266,-198.29999999999998,8.850000000000009,669,464.9,258.95,70.75,"BOTTOM","DUO_CARRY","SILVER",,,,,,,,,,,,,,
727808794,"LA1",1564074483802,1566,420,11,13,"9.14.282.3231","CLASSIC","MATCHED_GAME",200,false,true,true,false,false,false,true,3,0,0,0,0,1,0,8,18,4,7,3031,1055,3006,3094,3086,0,3340,1,3,5,0,1,0,988,0,0,0,0,0,100908,17649,82317,942,507,10740,424,9764,552,1874,3,6185,4488,4488,12,3,12861,1173,11507,180,9001,8600,0,146,8,8,0,46,12,0,0,8,1,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,613,315,297,9111,160,120,0,9104,20,40,0,8014,128,0,0,8345,4,0,0,8304,10,3,0,8000,8300,5005,5008,5002,4.8,7,319.3,349,345.9,310.79999999999995,-2.95,-0.25,-141.14999999999998,39.150000000000006,530.2,268.8,222.94999999999996,-164.45,"BOTTOM","DUO_CARRY","SILVER",,,,,,,,,,,,,,
727015786,"LA1",1563904283125,1623,420,11,13,"9.14.282.3231","CLASSIC","MATCHED_GAME",100,false,true,true,true,true,false,false,7,0,1,2,0,0,0,5,412,4,14,3069,3801,2055,3109,1029,3117,3364,4,10,9,2,2,1,294,1,0,0,0,0,16768,13202,2810,756,0,10197,7987,1454,756,1649,5,21634,524,321,54,39,22136,4506,16656,973,7624,6125,0,14,0,0,0,117,11,5,0,26,5,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1119,0,0,8463,877,0,0,8473,547,0,0,8451,163,0,0,8345,4,0,0,8347,0,0,0,8400,8300,5007,5002,5001,0.5,0.6,301,252.8,341.6,169,-1.35,-0.9500000000000005,-40.05000000000001,-67.25000000000001,698.3,363.9,1.150000000000034,61.64999999999998,"BOTTOM","DUO_SUPPORT","SILVER",,,,,,,,,,,,,,
720436373,"LA1",1562605427005,2430,420,11,13,"9.13.280.4632","CLASSIC","MATCHED_GAME",100,false,true,true,false,true,true,false,4,0,1,2,0,0,0,3,14,4,12,3748,3193,3026,3068,3047,0,3340,8,11,8,5,1,2,567,0,0,0,0,0,185560,46678,134710,4172,0,47354,14858,30883,1612,5260,1,125729,10091,2123,24,74,61679,7219,48197,6262,13406,13075,0,196,0,0,0,747,16,1,0,14,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,4104,3542,0,8446,1520,0,0,8429,75,22,13,8451,263,0,0,8304,11,1,5,8352,174,882,0,8400,8300,5008,5008,5002,6.199999999999999,6.3,459.1,461.7,431.7,245.89999999999998,,,,,1000,475.3,,,"TOP","SOLO","SILVER",2.5,4.6,211.8,458.1,178,421.4,2387,1729,,,,,,
720369455,"LA1",1562564910520,2249,420,11,13,"9.13.280.4632","CLASSIC","MATCHED_GAME",200,true,false,false,false,true,true,true,11,0,1,4,0,1,0,10,201,4,14,3401,3190,3193,3109,3117,1028,3364,5,5,24,2,1,2,783,0,0,0,0,0,56963,21966,13286,21711,0,14025,10758,1679,1586,9769,5,49841,860,860,66,53,33671,8071,23869,1730,12268,10175,0,72,0,0,0,273,17,3,0,35,5,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,3825,0,0,8463,2272,0,0,8473,843,0,0,8242,11,0,0,8304,9,4,5,8345,4,0,0,8400,8300,5007,5002,5001,2.1,1.6,332.8,306,317.5,186.10000000000002,1.1,0.8499999999999999,24.30000000000001,6.950000000000017,903.3,301.8,234.95,74.1,"BOTTOM","DUO_SUPPORT","SILVER",1.4,2.1,535.6,512.9000000000001,377.8,350,1372.2,1011.2,0.8999999999999999,4.55,6.800000000000068,271.9,327.8000000000002,-152.44999999999987
720363802,"LA1",1562561795589,2143,420,11,13,"9.13.280.4632","CLASSIC","MATCHED_GAME",200,true,true,true,true,true,true,false,10,0,1,3,0,0,0,10,29,4,7,3153,3046,3139,3006,0,3085,3363,10,10,16,3,2,2,421,1,0,0,0,0,125330,218,113281,11829,395,22729,218,19301,3208,5619,4,15534,16372,4021,24,19,26896,8860,17570,465,14539,13905,2,146,16,7,0,304,16,1,0,13,1,true,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1452,798,653,9111,1640,520,0,9104,14,0,0,8014,609,0,0,8304,8,1,5,8345,4,0,0,8000,8300,5005,5008,5002,5.2,4.4,494.6,213.10000000000002,443.6,270.9,,,,,315,431.59999999999997,,,"BOTTOM","DUO_CARRY","SILVER",5,2.5,640.2,469.1,408,434,1548.6,1051.3,,,,,,
720337210,"LA1",1562558922288,1870,420,11,13,"9.13.280.4632","CLASSIC","MATCHED_GAME",200,true,true,true,true,true,true,true,10,0,1,4,0,1,0,8,412,4,14,3069,3109,3190,3110,3117,0,3364,3,5,30,2,1,1,699,0,0,0,0,0,32327,23863,6494,1969,0,16852,13847,1954,1050,5821,5,17862,3702,1333,73,52,23233,7888,10786,4558,11020,10275,0,19,0,0,0,229,16,7,0,34,7,false,false,false,false,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,890,0,0,8463,3284,0,0,8473,731,0,0,8451,181,0,0,8345,4,0,0,8347,0,0,0,8400,8300,5007,5002,5001,0.7,0,458.9,301.79999999999995,358.6,230,-0.40000000000000036,-0.09999999999999987,131.85000000000002,40.39999999999998,912.4,291.70000000000005,76.85000000000008,12.450000000000017,"BOTTOM","DUO_SUPPORT","SILVER",,1,,643.8,,406.7,,783.2,,-1.7000000000000002,,86.90000000000003,,-124.94999999999999
710458495,"LA1",1560618892694,2117,420,11,13,"9.12.277.6038","CLASSIC","MATCHED_GAME",200,true,true,true,true,true,true,false,10,0,1,3,0,0,0,6,29,4,7,3153,3085,3006,3035,3086,0,3340,3,13,13,0,1,0,301,0,0,0,0,0,109689,263,97570,11855,557,16109,263,13767,2079,3888,4,10387,9578,3093,22,15,27989,8381,18302,1305,11292,10300,0,125,24,12,0,292,15,2,0,13,0,false,false,false,false,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1779,955,824,9111,343,320,0,9104,13,20,0,8014,314,0,0,8304,8,1,5,8345,4,0,0,8000,8300,5005,5008,5002,4.3,4.8,357.70000000000005,268.3,268.7,267.5,-2,-1.15,-127.84999999999997,-21.150000000000034,752.8,421.2,-80.05000000000007,-51.60000000000002,"BOTTOM","DUO_CARRY","SILVER",3,1.9,567,517.5,406.4,336.5,1085,1020.5,-2.7,-0.7999999999999999,75.19999999999999,-8.799999999999983,-87.29999999999995,-292.45000000000005
