,gameId,platformId,gameCreation,gameDuration,queueId,mapId,seasonId,gameVersion,gameMode,gameType,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,participantId,championId,spell1Id,spell2Id,highestAchievedSeasonTier,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,creepsPerMinDeltas_10-20,creepsPerMinDeltas_0-10,creepsPerMinDeltas_20-30,xpPerMinDeltas_10-20,xpPerMinDeltas_0-10,xpPerMinDeltas_20-30,goldPerMinDeltas_10-20,goldPerMinDeltas_0-10,goldPerMinDeltas_20-30,csDiffPerMinDeltas_10-20,csDiffPerMinDeltas_0-10,csDiffPerMinDeltas_20-30,xpDiffPerMinDeltas_10-20,xpDiffPerMinDeltas_0-10,xpDiffPerMinDeltas_20-30,damageTakenPerMinDeltas_10-20,damageTakenPerMinDeltas_0-10,damageTakenPerMinDeltas_20-30,damageTakenDiffPerMinDeltas_10-20,damageTakenDiffPerMinDeltas_0-10,damageTakenDiffPerMinDeltas_20-30,lane,role,creepsPerMinDeltas_30-end,xpPerMinDeltas_30-end,goldPerMinDeltas_30-end,damageTakenPerMinDeltas_30-end,csDiffPerMinDeltas_30-end,xpDiffPerMinDeltas_30-end,damageTakenDiffPerMinDeltas_30-end
46,626336825,LA1,1541396421086,2262,420,11,11,8.21.251.4430,CLASSIC,MATCHED_GAME,100,True,False,True,True,False,True,False,10,0,0,2,0,0,0,3,51,4,7,GOLD,3095,3026,3006,3085,3031,3094,3363,13,8,8,6,2,3,741,1,0,0,0,0,214343,1622,191731,20989,1432,27413,823,24027,2562,6358,2,11656,14678,8723,22,13,25572,15660,9679,232,17705,16700,2,236,16,4,4,297,17,0,0,6,4,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021.0,2343.0,0.0,0.0,9111.0,962.0,420.0,0.0,9104.0,11.0,0.0,0.0,8014.0,444.0,0.0,0.0,8233.0,21.0,30.0,0.0,8237.0,182.0,0.0,0.0,8000.0,8200.0,,,,6.7,7.4,6.2,548.7,346.7000000000001,497.8,570.3,346.4,422.7,-0.8999999999999999,1.3,-1.9,151.25000000000003,41.7,-339.6500000000001,585.0,275.7,832.1999999999998,-9.349999999999936,-35.05000000000001,64.0,BOTTOM,DUO_CARRY,5.2,359.0,477.2,1136.6,-2.3,-108.7,-16.100000000000136
88,517793295,LA1,1516570412563,1222,420,11,11,8.1.214.5847,CLASSIC,MATCHED_GAME,200,True,False,True,True,False,False,True,9,0,0,1,0,1,0,10,59,4,11,GOLD,1409,2031,3111,2055,3083,0,3341,4,0,9,4,1,1,0,0,0,0,0,0,83854,19094,55524,9235,0,4721,1027,3465,229,6902,1,10650,13256,2874,18,10,16434,2651,13507,276,8672,6675,0,18,91,57,5,366,11,1,0,7,2,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112.0,636.0,0.0,0.0,8143.0,147.0,0.0,0.0,8138.0,11.0,0.0,0.0,8105.0,5.0,0.0,0.0,9111.0,821.0,0.0,0.0,9104.0,15.0,10.0,0.0,8100.0,8000.0,,,,1.2000000000000002,0.4,,469.0,343.4,,473.8,319.8,,0.5,-0.09999999999999998,,139.39999999999998,33.30000000000001,,962.2,618.3,,-116.8,-175.80000000000004,,JUNGLE,NONE,,,,,,,
62,614019404,LA1,1538692284892,197,420,11,11,8.19.246.5109,CLASSIC,MATCHED_GAME,200,False,False,False,False,False,False,False,0,0,0,0,0,0,0,6,412,4,3,GOLD,3301,2003,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,407,206,200,0,0,176,89,86,0,0,0,102,0,0,0,0,271,20,251,0,761,500,0,1,0,0,0,0,2,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465.0,0.0,0.0,0.0,8473.0,15.0,0.0,0.0,8429.0,0.0,0.0,0.0,8451.0,2.0,0.0,0.0,8304.0,0.0,0.0,0.0,8347.0,0.0,0.0,0.0,8400.0,8300.0,,,,,,,,,,,,,,,,,,,,,,,,,NONE,DUO,,,,,,,
98,478344211,LA1,1507658443871,1370,420,11,9,7.19.203.1070,CLASSIC,MATCHED_GAME,200,False,True,False,False,False,False,False,0,0,0,0,0,0,0,10,19,4,11,PLATINUM,1413,3077,1036,3111,1028,0,3341,1,8,3,0,1,0,598,0,0,0,0,0,53906,14603,35319,3984,0,5096,3128,1634,334,7791,1,13765,1128,0,9,17,21757,6436,14448,872,6061,5625,0,15,41,24,0,422,9,1,0,4,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.0,,265.2,306.8,,266.3,235.6,,-1.1,-0.30000000000000004,,-328.4000000000001,-70.3,,1258.4,706.9000000000002,,272.7,14.600000000000026,,JUNGLE,NONE,,,,,,,
43,636354217,LA1,1543650236174,2171,420,11,12,8.23.254.717,CLASSIC,MATCHED_GAME,100,True,False,True,True,False,True,True,10,1,1,2,0,1,0,4,58,4,12,GOLD,3053,3748,3065,3071,3111,0,3363,8,5,12,4,2,2,893,1,0,0,0,0,177489,8812,156621,12055,0,32955,3172,29647,136,13841,1,36732,8323,7190,28,39,46612,9120,33122,4369,15464,14875,1,207,16,8,4,128,17,1,0,10,3,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005.0,4199.0,2286.0,1913.0,9111.0,2672.0,400.0,0.0,9104.0,16.0,40.0,0.0,8014.0,468.0,0.0,0.0,8473.0,601.0,0.0,0.0,8453.0,1049.0,300.0,0.0,8000.0,8400.0,5005.0,5002.0,5002.0,7.199999999999998,6.0,5.6,481.8,442.0,590.3,387.8,338.0,536.6,3.4,1.5,3.1,67.99999999999997,125.9,144.6,1120.8,512.5,1578.6,7.599999999999965,-1.5000000000000284,239.20000000000005,TOP,SOLO,2.0,385.2,309.2,1897.0,-4.2,-372.00000000000006,1280.4
54,622316802,LA1,1540534625631,1415,420,11,11,8.21.250.9462,CLASSIC,MATCHED_GAME,100,True,True,True,True,False,True,True,10,0,0,2,0,1,0,1,412,4,3,GOLD,3069,3109,3117,3105,0,0,3340,0,1,16,0,0,0,1409,0,0,0,0,0,16373,13483,2889,0,0,10421,8733,1687,0,1160,1,11229,2107,1266,19,42,12340,6329,5016,995,7230,5675,0,4,0,0,0,104,12,1,0,7,1,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465.0,1035.0,0.0,0.0,8473.0,351.0,0.0,0.0,8429.0,57.0,18.0,12.0,8451.0,130.0,0.0,0.0,8304.0,9.0,0.0,0.0,8347.0,0.0,0.0,0.0,8400.0,8300.0,,,,0.1,0.1,,474.6,333.8,,361.4,194.0,,1.65,-0.10000000000000007,,186.75,54.85,,684.1,204.2,,-134.54999999999993,-71.10000000000002,,BOTTOM,DUO_SUPPORT,,,,,,,
24,651767606,LA1,1547187550521,2054,420,11,12,9.1.257.7563,CLASSIC,MATCHED_GAME,200,False,False,False,False,False,False,False,4,0,0,0,0,0,0,9,14,4,12,GOLD,3111,3193,3110,3075,3082,0,3363,4,5,8,4,1,1,1016,0,0,0,0,0,113548,23240,86958,3350,32,11791,2986,8805,0,3424,1,55277,3573,2244,15,26,28380,7742,14466,6171,10800,10650,0,156,0,0,0,2458,15,0,0,7,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437.0,1023.0,759.0,0.0,8446.0,1240.0,0.0,0.0,8429.0,70.0,26.0,14.0,8451.0,184.0,0.0,0.0,8304.0,8.0,3.0,0.0,8352.0,89.0,450.0,0.0,8400.0,8300.0,5008.0,5002.0,5001.0,6.7,5.4,3.0,570.4,382.8,376.7000000000001,356.6,250.2,316.7000000000001,0.5,0.2999999999999998,-1.4999999999999998,45.19999999999999,-32.80000000000001,-0.09999999999999433,868.1,453.3,650.7,76.39999999999998,-5.900000000000006,-743.5,TOP,SOLO,,,,,,,
73,606468351,LA1,1537080309772,2259,420,11,11,8.18.244.9800,CLASSIC,MATCHED_GAME,100,True,False,True,True,True,True,True,10,0,1,4,0,1,0,2,516,4,12,GOLD,3001,3143,3047,3025,1011,1028,3363,3,7,20,2,1,1,496,0,0,0,0,0,127838,53143,69587,5107,0,16193,8078,7615,500,1483,1,38466,5779,2922,14,42,24539,6607,13932,3998,12943,12050,1,169,4,4,0,981,18,0,0,5,1,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437.0,863.0,725.0,0.0,8473.0,640.0,0.0,0.0,8444.0,1397.0,0.0,0.0,8453.0,386.0,1286.0,0.0,8226.0,250.0,627.0,0.0,8210.0,0.0,0.0,0.0,8400.0,8200.0,,,,4.6,5.2,4.6,393.1,447.3,533.4,310.0,250.8,331.7,-2.0,1.5000000000000002,-3.7,-166.8,38.40000000000001,-58.80000000000004,554.3,562.9,768.5,-227.79999999999995,91.00000000000004,-164.5,TOP,SOLO,3.6,468.6,399.8,1030.4,-1.8000000000000005,35.80000000000001,-319.3999999999998
33,646763868,LA1,1545980780807,1778,420,11,12,8.24.255.8524,CLASSIC,MATCHED_GAME,200,False,False,True,False,False,False,False,3,0,0,1,0,0,0,9,72,4,11,GOLD,1401,2031,3111,3025,3211,1033,3364,3,5,4,2,1,1,879,0,0,0,0,0,113480,52250,56526,4704,0,6999,2358,3641,999,6399,1,31369,6824,170,10,37,25034,9178,15321,533,8918,8175,0,18,103,81,4,723,13,1,0,4,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8124.0,0.0,0.0,0.0,8126.0,496.0,0.0,0.0,8120.0,0.0,8.0,0.0,8134.0,19.0,4.0,0.0,8234.0,5830.0,0.0,0.0,8232.0,3.0,40.0,0.0,8100.0,8200.0,5008.0,5008.0,5002.0,0.8,0.1,,589.2,243.3,,383.7000000000001,219.7,,0.2,-0.4,,204.7,-57.00000000000002,,819.0999999999998,608.3,,-62.200000000000045,20.0,,JUNGLE,NONE,,,,,,,
1,660826760,LA1,1549172109432,1581,420,11,13,9.2.261.2172,CLASSIC,MATCHED_GAME,100,True,False,False,True,False,True,False,11,0,0,2,0,0,0,4,202,4,7,GOLD,1055,3094,3095,3009,3031,0,3363,12,2,11,8,2,2,651,1,0,0,0,0,126987,9145,115508,2333,1365,22335,1346,20445,544,3261,2,5639,13193,10620,10,17,9806,1672,7369,764,12280,10400,1,156,8,4,0,182,14,0,0,4,1,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021.0,1576.0,0.0,0.0,9101.0,1286.0,1701.0,0.0,9104.0,12.0,50.0,0.0,8014.0,537.0,0.0,0.0,8233.0,12.0,50.0,0.0,8236.0,14.0,0.0,0.0,8000.0,8200.0,5005.0,5008.0,5001.0,6.1,6.6,,501.9,319.3,,459.7,305.4,,-0.9999999999999998,-0.1499999999999997,,91.50000000000004,15.800000000000026,,479.6,183.7,,-334.35,-100.05000000000004,,BOTTOM,DUO_CARRY,,,,,,,
